,ssh_time_interval,boundingbox_upperright_lon,boundingbox_upperright_lat,boundingbox_lowerleft_lon,boundingbox_lowerleft_lat,certificate,dip,fault_depth,id_long,magnitude,model,model_version,path,provider,rake,scope,simulation_time,slip,strike,x,y,scenario_id
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.20000,24914.90,RG_C00021765_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00021765_mw8.05_04h,AWI,90.0000,REGIONAL,240,20.1300,6.9000,-71.62600,-29.40710,C00021765
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.70000,35406.70,RG_C00023291_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00023291_mw8.35_04h,AWI,90.0000,REGIONAL,240,9.2600,7.4000,-71.68190,-31.74640,C00023291
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.50000,42121.10,RG_C00009502_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00009502_mw8.05_04h,AWI,90.0000,REGIONAL,240,8.9700,8.3000,-71.00390,-28.49330,C00009502
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,20.30000,39906.80,RG_C00013298_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00013298_mw8.15_04h,AWI,90.0000,REGIONAL,240,5.7700,17.0000,-72.17950,-33.44410,C00013298
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,14.30000,21876.60,RG_C00019191_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00019191_mw8.05_04h,AWI,90.0000,REGIONAL,240,15.6900,7.3000,-71.94510,-30.82290,C00019191
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.20000,37373.20,RG_C00022636_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00022636_mw8.25_04h,AWI,90.0000,REGIONAL,240,6.9100,6.8000,-71.17780,-29.13620,C00022636
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.90000,36537.20,RG_C00004382_mw8.25_04h,8.25,TsunAWI,r2019,RG_C00004382_mw8.25_04h,AWI,90.0000,REGIONAL,240,7.9400,8.8000,-70.98090,-27.44020,C00004382
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.70000,31829.70,RG_C00002156_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00002156_mw8.35_04h,AWI,90.0000,REGIONAL,240,5.3500,7.2000,-71.35620,-29.55600,C00002156
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.70000,29355.30,RG_C00000409_mw8.55_04h,8.55,TsunAWI,r2019,RG_C00000409_mw8.55_04h,AWI,90.0000,REGIONAL,240,8.3300,7.2000,-71.62860,-30.91630,C00000409
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,20.90000,35188.30,RG_C00014170_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00014170_mw8.05_04h,AWI,90.0000,REGIONAL,240,5.6500,20.5000,-73.40820,-36.07400,C00014170
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.40000,29370.60,RG_C00012910_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00012910_mw8.05_04h,AWI,90.0000,REGIONAL,240,3.4200,7.3000,-71.52580,-30.00170,C00012910
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.40000,26171.30,RG_C00004913_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00004913_mw8.05_04h,AWI,90.0000,REGIONAL,240,4.3000,7.2000,-71.62500,-29.24160,C00004913
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.60000,30170.70,RG_C00017959_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00017959_mw8.35_04h,AWI,90.0000,REGIONAL,240,4.4300,7.0000,-71.51320,-30.07920,C00017959
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.90000,45919.30,RG_C00001427_mw8.75_04h,8.75,TsunAWI,r2019,RG_C00001427_mw8.75_04h,AWI,90.0000,REGIONAL,240,8.3000,18.1000,-72.84030,-35.68070,C00001427
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.70000,25173.60,RG_C00003986_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00003986_mw8.05_04h,AWI,90.0000,REGIONAL,240,6.2300,9.2000,-71.48260,-28.24560,C00003986
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.20000,38326.90,RG_C00014508_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00014508_mw8.05_04h,AWI,90.0000,REGIONAL,240,5.7100,9.3000,-71.06750,-28.15880,C00014508
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.00000,32631.30,RG_C00001199_mw8.55_04h,8.55,TsunAWI,r2019,RG_C00001199_mw8.55_04h,AWI,90.0000,REGIONAL,240,47.8000,7.1000,-71.53620,-30.92180,C00001199
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.20000,24878.60,RG_C00000362_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00000362_mw8.15_04h,AWI,90.0000,REGIONAL,240,7.3700,7.0000,-71.60700,-29.43350,C00000362
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,20.20000,35812.30,RG_C00012562_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00012562_mw8.35_04h,AWI,90.0000,REGIONAL,240,11.9700,18.4000,-72.60670,-34.38600,C00012562
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,16.30000,33088.80,RG_C00006009_mw8.55_04h,8.55,TsunAWI,r2019,RG_C00006009_mw8.55_04h,AWI,90.0000,REGIONAL,240,5.6400,8.3000,-71.97210,-32.60900,C00006009
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.40000,39589.60,RG_C00004659_mw8.75_04h,8.75,TsunAWI,r2019,RG_C00004659_mw8.75_04h,AWI,90.0000,REGIONAL,240,8.6500,12.4000,-73.26850,-36.27530,C00004659
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,19.00000,47275.80,RG_C00018499_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00018499_mw8.15_04h,AWI,90.0000,REGIONAL,240,3.3300,8.0000,-70.95290,-28.93330,C00018499
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.20000,21361.00,RG_C00021209_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00021209_mw8.15_04h,AWI,90.0000,REGIONAL,240,5.2200,7.1000,-71.79740,-29.68440,C00021209
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.40000,31258.20,RG_C00018273_mw8.55_04h,8.55,TsunAWI,r2019,RG_C00018273_mw8.55_04h,AWI,90.0000,REGIONAL,240,9.1400,7.0000,-71.34960,-29.17590,C00018273
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,12.60000,42276.30,RG_C00016453_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00016453_mw8.15_04h,AWI,90.0000,REGIONAL,240,7.5300,7.4000,-71.41820,-31.92130,C00016453
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,18.00000,37104.00,RG_C00005693_mw8.35_04h,8.35,TsunAWI,r2019,RG_C00005693_mw8.35_04h,AWI,90.0000,REGIONAL,240,19.1800,12.6000,-73.84830,-38.20440,C00005693
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.60000,33838.40,RG_C00018510_mw8.05_04h,8.05,TsunAWI,r2019,RG_C00018510_mw8.05_04h,AWI,90.0000,REGIONAL,240,3.7100,7.3000,-71.45130,-30.62930,C00018510
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,15.60000,24684.30,RG_C00018870_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00018870_mw8.15_04h,AWI,90.0000,REGIONAL,240,30.0100,7.1000,-71.72130,-30.16110,C00018870
0,10,-69.96918,-16.99536,-83.00279,-47.00288,MANUAL,17.70000,28819.40,RG_C00015776_mw8.15_04h,8.15,TsunAWI,r2019,RG_C00015776_mw8.15_04h,AWI,90.0000,REGIONAL,240,5.6900,7.0000,-71.42360,-28.99220,C00015776
