ID;eventID;longitude;latitude;depth;magnitude;rake;dip;strike;rupture_width;rupture_length;midpt_lon;midpt_lat;midpt_depth;scale_law;slip;bottom_roughness;seeds_gm;exposure_model;vulnerability_model_eq;vulnerability_model_ts
1;130;-71,56245;-31,0081;33,81842;7,75;90;13,52028;7,606136;31,3368063;129,537061;-71,61370613;-31,12522769;33,06649614;WellsCoppersmith;4,359432653;0,015139888;2237070650;;;
2;134;-71,37228;-30,92143;10;6,85;-45;74,99951;304,9481;13,17378443;56,95146427;-71,45216475;-30,86673936;6,445297615;WellsCoppersmith;1,053569763;0,009424391;136179049;;;
3;236;-69,13947;-33,59573;143,3632;6,5;-90;50,42967;34,41936;15,74336844;23,70000115;-69,14161746;-33,56931962;141,0680801;Stafford;0,632459498;0,033067226;4193990057;;;
4;500;-70,13472;-33,55629;15;6,55;90;44,99961;0,03543688;12,85332466;22,06890955;-70,12643439;-33,51923946;16,08197235;Stafford;0,988740658;0,032563718;4099493919;;;
5;512;-71,36179;-30,84444;10;7,25;90;45,00072;30,10888;22,49089431;61,71449514;-71,45728842;-30,92690293;6,610313149;WellsCoppersmith;2,267173935;0,02512055;1040441759;;;
6;516;-71,8333;-29,05327;21,27844;7,35;90;16,6912;7,332532;19,47976759;50,80108839;-71,94352833;-29,12485099;18,36056007;WellsCoppersmith;4,491815994;0,018040715;863579037;;;
7;643;-68,23826;-31,13749;6;6,05;90;75,00098;90,02567;9,938031714;4,875092969;-68,24218549;-31,13304417;4,089837519;WellsCoppersmith;1,029426787;0,012294989;971732169;;;
8;797;-68,99717;-32,42966;9,027225;6,55;90;37,05255;170,5722;18,03695742;11,45720707;-68,96177252;-32,47075722;11,79862356;WellsCoppersmith;1,357177662;0,043117169;2379999245;;;
9;919;-71,10731;-33,28649;5;6,15;-90;45,00082;90,03565;10,12997679;16,02785619;-71,08376957;-33,27860976;3,75717232;Stafford;0,433905203;0,024081662;2097020017;;;
10;924;-70,15726;-32,11738;15;6,35;90;45,00229;0,0253827;10,71745856;17,06661749;-70,14905149;-32,11177921;16,09259543;Stafford;0,768492224;0,038872777;852753287;;;
11;1053;-68,90791;-33,23184;15;6,75;90;44,99918;0,04258476;18,51257018;29,60129459;-68,8836441;-33,2077241;18,18740465;Stafford;1,0211777;0,02722869;4045679318;;;
12;1057;-69,07335;-32,70634;15,04538;6,35;90;37,74661;184,0606;5,816251538;31,48865632;-69,07057656;-32,71612298;15,35767936;WellsCoppersmith;0,767505393;0,054396912;2721452944;;;
13;1064;-68,38951;-31,84537;15,04538;6,35;90;38,33449;9,909714;8,014072404;24,41728668;-68,39983316;-31,81880393;13,72448911;WellsCoppersmith;0,718336743;0,029571705;1959097721;;;
14;1077;-70,06681;-31,12812;15;6,15;90;45,00096;0,01785702;10,30604833;13,5548965;-70,06270881;-31,1182474;15,55149483;Stafford;0,504301622;0,019065934;1907095407;;;
15;1084;-70,36499;-32,47711;5;6,35;90;45,00095;0,02528202;7,111214661;15,79033984;-70,35685318;-32,43931635;6,076839123;Stafford;1,251824594;0,031617069;3912871675;;;
16;1197;-71,45949;-31,32971;38,20992;7,05;90;13,29786;7,534922;13,66202173;40,0487653;-71,52288258;-31,35448997;36,87828506;WellsCoppersmith;2,882535351;0,015732327;150494670;;;
17;1200;-69,55322;-33,14191;5;6,35;90;45,00031;0,02788185;7,666186251;7,132322754;-69,56684092;-33,13594393;3,206781693;WellsCoppersmith;2,570800592;0,053621324;1546636163;;;
18;1210;-71,95159;-29,85269;21,91129;6,95;90;13,22316;7,431106;17,58999328;35,60160587;-71,93351736;-29,87248854;22,38670752;Stafford;1,782967733;0,006471693;3007337076;;;
19;1215;-72,07599;-34,073;8;6,15;-90;44,99968;304,9857;5,195720366;22,13735864;-72,10368295;-34,05148317;5,154766126;WellsCoppersmith;0,612501526;0,010372885;3443479213;;;
20;1322;-72,58544;-34,78851;10;7,05;-45;74,99928;304,9051;14,26251778;71,55596949;-72,62589759;-34,76682987;10,82962819;WellsCoppersmith;1,545384942;0,019333509;4040008779;;;
21;1468;-71,78651;-33,35355;8;6,55;-90;44,9989;120,0282;8,697389776;19,99305715;-71,84397188;-33,32038421;5,972398556;Stafford;1,612911744;0,02706752;3093890485;;;
22;1614;-69,39821;-30,35658;126,5024;6,4;-90;43,27611;348,2899;11,26822507;16,1144125;-69,43423684;-30,33725038;121,6596699;WellsCoppersmith;0,920044335;0,013099558;2270205940;;;
23;1623;-68,43004;-30,13296;137,3152;6,3;-90;39,19085;325,9504;5,71492223;10,91906483;-68,45289317;-30,11641367;135,0732864;WellsCoppersmith;1,895321879;0,011450505;798067443;;;
24;1724;-70,72405;-29,95303;55,30046;7,25;90;21,50536;6,562713;37,51468752;61,31875598;-70,74904018;-30,03697003;54,7612819;WellsCoppersmith;1,367993635;0,028370652;3987035059;;;
25;1750;-69,77728;-35,17507;5;6,05;90;44,99809;0,02290664;8,526736923;10,53804183;-69,78055865;-35,170381;4,578459541;WellsCoppersmith;0,555054928;0,040897434;829962420;;;
26;1874;-71,70343;-32,25478;38,5429;6,85;90;10,85516;7,560961;10,27829568;24,86752427;-71,77393367;-32,22484382;37,19610249;WellsCoppersmith;3,092609517;0,014523522;477213029;;;
27;1891;-70,59821;-29,3373;59,28506;7,15;90;21,05345;6,481963;20,39857127;24,12736713;-70,54511707;-29,30112984;61,13930319;WellsCoppersmith;4,526568142;0,085700904;4253099443;;;
28;2024;-71,34635;-33,54255;54,14066;6,75;90;11,69635;14,74381;9,716159681;24,0567282;-71,35889161;-33,52709024;53,81685357;WellsCoppersmith;2,394128961;0,059528884;112974685;;;
29;2028;-71,21233;-32,68022;48,09073;6,65;90;9,687297;7,992523;18,02328108;15,56690906;-71,23585823;-32,72674251;47,84136097;WellsCoppersmith;1,412025375;0,018263916;2923087046;;;
30;2146;-72,31544;-35,96158;8;6,25;-90;45,00095;120,0236;5,289903449;12,63066224;-72,35808677;-35,93455909;5,342939026;WellsCoppersmith;1,489377807;0,007742324;1680573103;;;
31;2159;-71,93063;-31,74458;30,95975;7,65;90;12,99152;7,605232;32,68126061;42,80902234;-71,9290944;-31,50358773;30,17151362;WellsCoppersmith;8,95456793;0,070353187;3322351877;;;
32;2271;-70,23384;-33,0167;7,709046;6,55;-90;60,00116;0,02461622;14,36182993;24,63078576;-70,23656711;-32,95329428;6,817703703;Stafford;0,792849395;0,025007797;1305552039;;;
33;2295;-71,31067;-30,11599;8;6,15;90;45,00174;30,02906;8,309426183;12,70759446;-71,28948417;-30,09167148;8,426357324;Stafford;0,667182067;0,011937148;1170919462;;;
34;2379;-71,59428;-32,90389;8;6,05;-90;45,00015;304,9852;7,833804631;14,8932594;-71,57967795;-32,90590974;4,584249801;WellsCoppersmith;0,427480447;0,041119576;4145175526;;;
